+-------------+-------------+------------------+
| first_name  | last_name   | title            |
+-------------+-------------+------------------+
| PENELOPE    | GUINESS     | ACADEMY DINOSAUR |
| CHRISTIAN   | GABLE       | ACADEMY DINOSAUR |
| LUCILLE     | TRACY       | ACADEMY DINOSAUR |
| SANDRA      | PECK        | ACADEMY DINOSAUR |
| JOHNNY      | CAGE        | ACADEMY DINOSAUR |
| MENA        | TEMPLE      | ACADEMY DINOSAUR |
| WARREN      | NOLTE       | ACADEMY DINOSAUR |
| OPRAH       | KILMER      | ACADEMY DINOSAUR |
| ROCK        | DUKAKIS     | ACADEMY DINOSAUR |
| MARY        | KEITEL      | ACADEMY DINOSAUR |
| BOB         | FAWCETT     | ACE GOLDFINGER   |
| MINNIE      | ZELLWEGER   | ACE GOLDFINGER   |
| SEAN        | GUINESS     | ACE GOLDFINGER   |
| CHRIS       | DEPP        | ACE GOLDFINGER   |
| NICK        | WAHLBERG    | ADAPTATION HOLES |
| BOB         | FAWCETT     | ADAPTATION HOLES |
| CAMERON     | STREEP      | ADAPTATION HOLES |
| RAY         | JOHANSSON   | ADAPTATION HOLES |
| JULIANNE    | DENCH       | ADAPTATION HOLES |
| JODIE       | DEGENERES   | AFFAIR PREJUDICE |
| SCARLETT    | DAMON       | AFFAIR PREJUDICE |
| KENNETH     | PESCI       | AFFAIR PREJUDICE |
| FAY         | WINSLET     | AFFAIR PREJUDICE |
| OPRAH       | KILMER      | AFFAIR PREJUDICE |
| GARY        | PHOENIX     | AFRICAN EGG      |
| DUSTIN      | TAUTOU      | AFRICAN EGG      |
| MATTHEW     | LEIGH       | AFRICAN EGG      |
| MATTHEW     | CARREY      | AFRICAN EGG      |
| THORA       | TEMPLE      | AFRICAN EGG      |
| KIRSTEN     | PALTROW     | AGENT TRUMAN     |
| SANDRA      | KILMER      | AGENT TRUMAN     |
| JAYNE       | NEESON      | AGENT TRUMAN     |
| WARREN      | NOLTE       | AGENT TRUMAN     |
| MORGAN      | WILLIAMS    | AGENT TRUMAN     |
| KENNETH     | HOFFMAN     | AGENT TRUMAN     |
| REESE       | WEST        | AGENT TRUMAN     |
| JIM         | MOSTEL      | AIRPLANE SIERRA  |
| RICHARD     | PENN        | AIRPLANE SIERRA  |
| OPRAH       | KILMER      | AIRPLANE SIERRA  |
| MENA        | HOPPER      | AIRPLANE SIERRA  |
| MICHAEL     | BOLGER      | AIRPLANE SIERRA  |
| FAY         | KILMER      | AIRPORT POLLOCK  |
| GENE        | WILLIS      | AIRPORT POLLOCK  |
| SUSAN       | DAVIS       | AIRPORT POLLOCK  |
| LUCILLE     | DEE         | AIRPORT POLLOCK  |
| CHRISTIAN   | GABLE       | ALABAMA DEVIL    |
| ELVIS       | MARX        | ALABAMA DEVIL    |
| RIP         | CRAWFORD    | ALABAMA DEVIL    |
| MENA        | TEMPLE      | ALABAMA DEVIL    |
| RIP         | WINSLET     | ALABAMA DEVIL    |
| WARREN      | NOLTE       | ALABAMA DEVIL    |
| GRETA       | KEITEL      | ALABAMA DEVIL    |
| WILLIAM     | HACKMAN     | ALABAMA DEVIL    |
| MERYL       | ALLEN       | ALABAMA DEVIL    |
| ALEC        | WAYNE       | ALADDIN CALENDAR |
| JUDY        | DEAN        | ALADDIN CALENDAR |
| VAL         | BOLGER      | ALADDIN CALENDAR |
| RAY         | JOHANSSON   | ALADDIN CALENDAR |
| RENEE       | TRACY       | ALADDIN CALENDAR |
| JADA        | RYDER       | ALADDIN CALENDAR |
| GRETA       | MALDEN      | ALADDIN CALENDAR |
| ROCK        | DUKAKIS     | ALADDIN CALENDAR |
| JOHNNY      | CAGE        | ALAMO VIDEOTAPE  |
| SCARLETT    | DAMON       | ALAMO VIDEOTAPE  |
| SEAN        | GUINESS     | ALAMO VIDEOTAPE  |
| MICHAEL     | BENING      | ALAMO VIDEOTAPE  |
| VAL         | BOLGER      | ALASKA PHANTOM   |
| BURT        | POSEY       | ALASKA PHANTOM   |
| SIDNEY      | CROWE       | ALASKA PHANTOM   |
| SYLVESTER   | DERN        | ALASKA PHANTOM   |
| ALBERT      | JOHANSSON   | ALASKA PHANTOM   |
| GENE        | MCKELLEN    | ALASKA PHANTOM   |
| JEFF        | SILVERSTONE | ALASKA PHANTOM   |
| CARY        | MCCONAUGHEY | ALI FOREVER      |
| CHRISTOPHER | BERRY       | ALI FOREVER      |
| KENNETH     | TORN        | ALI FOREVER      |
| MORGAN      | MCDORMAND   | ALI FOREVER      |
| JON         | CHASE       | ALI FOREVER      |
| WOODY       | HOFFMAN     | ALICE FANTASIA   |
| MINNIE      | ZELLWEGER   | ALICE FANTASIA   |
| MORGAN      | WILLIAMS    | ALICE FANTASIA   |
| ROCK        | DUKAKIS     | ALICE FANTASIA   |
| BURT        | DUKAKIS     | ALIEN CENTER     |
| KENNETH     | PALTROW     | ALIEN CENTER     |
| SIDNEY      | CROWE       | ALIEN CENTER     |
| RENEE       | TRACY       | ALIEN CENTER     |
| HUMPHREY    | WILLIS      | ALIEN CENTER     |
| MENA        | HOPPER      | ALIEN CENTER     |
| KARL        | BERRY       | ALLEY EVOLUTION  |
| JUDE        | CRUISE      | ALLEY EVOLUTION  |
| ALBERT      | JOHANSSON   | ALLEY EVOLUTION  |
| GREGORY     | GOODING     | ALLEY EVOLUTION  |
| JOHN        | SUVARI      | ALLEY EVOLUTION  |
| ED          | CHASE       | ALONE TRIP       |
| KARL        | BERRY       | ALONE TRIP       |
| UMA         | WOOD        | ALONE TRIP       |
| WOODY       | JOLIE       | ALONE TRIP       |
| SPENCER     | DEPP        | ALONE TRIP       |
| CHRIS       | DEPP        | ALONE TRIP       |
| LAURENCE    | BULLOCK     | ALONE TRIP       |

