actor_id,first_name,last_name,last_update_date,last_update_time
1,PENELOPE,GUINESS,2006-02-15,04:34:33
2,NICK,WAHLBERG,2006-02-15,04:34:33
3,ED,CHASE,2006-02-15,04:34:33
4,JENNIFER,DAVIS,2006-02-15,04:34:33
5,JOHNNY,LOLLOBRIGIDA,2006-02-15,04:34:33
6,BETTE,NICHOLSON,2006-02-15,04:34:33
7,GRACE,MOSTEL,2006-02-15,04:34:33
8,MATTHEW,JOHANSSON,2006-02-15,04:34:33
9,JOE,SWANK,2006-02-15,04:34:33
10,CHRISTIAN,GABLE,2006-02-15,04:34:33
11,ZERO,CAGE,2006-02-15,04:34:33
12,KARL,BERRY,2006-02-15,04:34:33
13,UMA,WOOD,2006-02-15,04:34:33
14,VIVIEN,BERGEN,2006-02-15,04:34:33
15,CUBA,OLIVIER,2006-02-15,04:34:33
16,FRED,COSTNER,2006-02-15,04:34:33
17,HELEN,VOIGHT,2006-02-15,04:34:33
18,DAN,TORN,2006-02-15,04:34:33
19,BOB,FAWCETT,2006-02-15,04:34:33
20,LUCILLE,TRACY,2006-02-15,04:34:33
21,KIRSTEN,PALTROW,2006-02-15,04:34:33
22,ELVIS,MARX,2006-02-15,04:34:33
23,SANDRA,KILMER,2006-02-15,04:34:33
24,CAMERON,STREEP,2006-02-15,04:34:33
25,KEVIN,BLOOM,2006-02-15,04:34:33
26,RIP,CRAWFORD,2006-02-15,04:34:33
27,JULIA,MCQUEEN,2006-02-15,04:34:33
28,WOODY,HOFFMAN,2006-02-15,04:34:33
29,ALEC,WAYNE,2006-02-15,04:34:33
30,SANDRA,PECK,2006-02-15,04:34:33
